ID,Rate,Tide,Time,Media,,,,
C5H,Control,High,T0 ,Air,,,,
C7H,Control,High,T0 ,Air,,,,
C11L,Control,Low,T0 ,Air,,,,
C19L,Control,Low,T0 ,Air,,,,
C2H,Control,High,T0 ,Water,,,,
C4H,Control,High,T0 ,Water,,,,
C14L,Control,Low,T0 ,Water,,,,
C18L,Control,Low,T0 ,Water,,,,
F24H,Fast,High,T1,Water,,,,
F29H,Fast,High,T1,Water,,,,
F30H,Fast,High,T1,Water,,,,
F33L,Fast,Low,T1,Water,,,,
F35L,Fast,Low,T1,Water,,,,
F37L,Fast,Low,T1,Water,,,,
M42H,Mid,High,T1,Water,,,,
M44H,Mid,High,T1,Water,,,,
M48H,Mid,High,T1,Water,,,,
M51L,Mid,Low,T1,Water,,,,
M54L,Mid,Low,T1,Water,,,,
M55L,Mid,Low,T1,Water,,,,
S59H,Slow,High,T1,Water,,,,
S63H,Slow,High,T1,Water,,,,
S65H,Slow,High,T1,Water,,,,
S67L,Slow,Low,T1,Water,,,,
S69L,Slow,Low,T1,Water,,,,
S74L,Slow,Low,T1,Water,,,,
F26H,Fast,High,T2,Water,,,,
F27H,Fast,High,T2,Water,,,,
F28H,Fast,High,T2,Water,,,,
F31L,Fast,Low,T2,Water,,,,
F34L,Fast,Low,T2,Water,,,,
F36L,Fast,Low,T2,Water,,,,
M45H,Mid,High,T2,Water,,,,
M46H,Mid,High,T2,Water,,,,
M47H,Mid,High,T2,Water,,,,
M50L,Mid,Low,T2,Water,,,,
M53L,Mid,Low,T2,Water,,,,
M56L,Mid,Low,T2,Water,,,,
S62H,Slow,High,T2,Water,,,,
S64H,Slow,High,T2,Water,,,,
S66H,Slow,High,T2,Water,,,,
S70L,Slow,Low,T2,Water,,,,
S71L,Slow,Low,T2,Water,,,,
S73L,Slow,Low,T2,Water,,,,